host_id,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
138579,Brooklyn,Greenpoint,Entire home/apt,250,29,3,0.03,1,34
139612,Brooklyn,Williamsburg,Entire home/apt,199,3,10,0.1,1,280
139874,Brooklyn,Cobble Hill,Entire home/apt,140,2,4,0.04,1,0
140025,Queens,Flushing,Private room,140,2,1,0.01,1,1
137974,Brooklyn,Bedford-Stuyvesant,Entire home/apt,115,3,124,1.72,2,170
142833,Brooklyn,Williamsburg,Entire home/apt,160,3,11,0.11,1,188
143027,Brooklyn,Williamsburg,Entire home/apt,195,4,240,2.19,1,214
143048,Manhattan,East Village,Entire home/apt,195,3,30,0.28,1,248
72014,Brooklyn,Williamsburg,Private room,80,3,200,1.86,4,262
149929,Brooklyn,Fort Greene,Private room,44,8,27,1.05,5,280
120291,Manhattan,West Village,Private room,156,4,79,0.74,1,307
62165,Brooklyn,Prospect Heights,Private room,85,15,9,0.09,1,339
142684,Brooklyn,Williamsburg,Private room,125,3,155,1.61,1,1
137432,Brooklyn,Prospect Heights,Entire home/apt,115,15,4,0.05,1,269
157798,Manhattan,East Harlem,Private room,69,2,34,0.32,1,10
158284,Manhattan,West Village,Entire home/apt,225,45,134,1.24,1,312
159370,Brooklyn,Williamsburg,Entire home/apt,125,6,27,0.25,1,189
92788,Manhattan,Upper East Side,Entire home/apt,219,4,126,1.16,2,290
165789,Brooklyn,Boerum Hill,Entire home/apt,475,3,23,0.27,1,230
168417,Manhattan,Upper East Side,Entire home/apt,99,1,234,2.6,2,164
168525,Brooklyn,Williamsburg,Private room,69,4,202,1.86,2,53
110506,Queens,Sunnyside,Private room,79,30,28,0.26,1,126
170510,Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,2,309,2.86,2,3
171851,Brooklyn,DUMBO,Private room,250,3,14,0.13,1,189
174025,Manhattan,Upper East Side,Entire home/apt,250,3,4,0.08,1,365
180083,Brooklyn,Gowanus,Entire home/apt,250,2,80,2.17,1,0
181167,Manhattan,Harlem,Entire home/apt,80,3,2,0.04,1,0
137814,Brooklyn,Clinton Hill,Private room,70,2,294,3.47,3,336
11481,Brooklyn,Carroll Gardens,Entire home/apt,165,2,150,1.4,3,342
185978,Staten Island,St. George,Private room,70,2,166,1.66,1,312
177536,Brooklyn,Bushwick,Private room,50,2,47,0.94,1,37
190409,Bronx,Highbridge,Private room,40,1,219,2.04,3,353
193360,Brooklyn,Williamsburg,Entire home/apt,150,2,193,1.78,1,177
72062,Manhattan,East Village,Private room,125,1,84,0.78,4,310
193722,Manhattan,Financial District,Entire home/apt,196,3,114,1.06,1,0
181376,Brooklyn,Fort Greene,Private room,110,2,213,2.0,2,321
193637,Manhattan,West Village,Entire home/apt,170,3,86,0.8,1,246
126607,Manhattan,Harlem,Entire home/apt,165,3,80,0.75,3,231
201297,Manhattan,West Village,Entire home/apt,150,26,38,0.36,1,225
202249,Manhattan,Harlem,Entire home/apt,100,2,18,1.79,1,0
67778,Brooklyn,Fort Greene,Private room,65,2,206,1.92,2,0
204539,Queens,Ridgewood,Entire home/apt,350,8,10,0.11,5,365
867225,Manhattan,Morningside Heights,Private room,99,4,122,1.18,2,233
204724,Brooklyn,Williamsburg,Entire home/apt,200,4,33,0.58,1,1
8198,Brooklyn,Park Slope,Entire home/apt,150,5,52,0.5,1,18
209460,Brooklyn,Bedford-Stuyvesant,Private room,90,3,126,1.17,4,343
210746,Brooklyn,Prospect Heights,Private room,120,3,51,0.48,3,250
212722,Manhattan,Upper East Side,Private room,75,3,199,1.85,1,326
214148,Brooklyn,Bedford-Stuyvesant,Entire home/apt,175,26,30,0.29,1,364
214287,Manhattan,Chelsea,Entire home/apt,125,3,3,0.03,1,0
218404,Manhattan,Hell's Kitchen,Entire home/apt,275,1,41,0.38,1,299
221873,Manhattan,Lower East Side,Entire home/apt,299,2,109,1.04,1,207
9744,Brooklyn,South Slope,Entire home/apt,135,5,151,1.43,3,162
236655,Manhattan,Lower East Side,Private room,83,1,285,2.69,1,7
237329,Manhattan,Chelsea,Private room,123,1,375,3.52,1,328
27848,Queens,Jamaica,Private room,55,2,52,0.49,2,365
240360,Manhattan,Hell's Kitchen,Entire home/apt,195,5,10,1.01,1,0
247432,Brooklyn,Bedford-Stuyvesant,Private room,80,2,11,0.48,1,0
204539,Queens,Middle Village,Entire home/apt,98,30,33,0.31,5,240
204539,Queens,Ridgewood,Private room,140,7,6,0.06,5,365
204539,Queens,Middle Village,Entire home/apt,265,7,38,0.38,5,365
10889,Brooklyn,Williamsburg,Entire home/apt,249,2,358,3.44,2,164
255583,Manhattan,Hell's Kitchen,Shared room,105,6,10,0.09,1,363
210746,Brooklyn,Prospect Heights,Private room,100,2,226,2.12,3,250
256161,Manhattan,Harlem,Entire home/apt,121,1,104,1.0,5,247
190409,Bronx,Highbridge,Private room,45,1,138,1.45,3,323
258164,Manhattan,East Harlem,Private room,100,5,204,1.92,1,192
260709,Brooklyn,Williamsburg,Entire home/apt,140,2,253,3.04,1,125
262138,Brooklyn,Bedford-Stuyvesant,Private room,71,2,23,0.22,1,91
88209,Manhattan,NoHo,Private room,130,2,115,1.17,1,75
263414,Manhattan,West Village,Entire home/apt,199,5,129,1.22,1,286
168525,Brooklyn,Williamsburg,Private room,69,4,82,1.13,2,60
264928,Brooklyn,Fort Greene,Private room,68,3,37,0.35,1,0
267593,Manhattan,East Village,Entire home/apt,130,1,204,2.04,1,192
268014,Brooklyn,Greenpoint,Entire home/apt,195,2,69,0.65,1,58
256161,Manhattan,Harlem,Private room,64,1,192,1.84,5,245
272006,Queens,Ditmars Steinway,Entire home/apt,140,2,17,0.16,1,292
199392,Brooklyn,Cobble Hill,Entire home/apt,159,2,222,2.12,1,279
239208,Manhattan,East Village,Entire home/apt,189,3,205,1.96,1,0
274557,Manhattan,Hell's Kitchen,Entire home/apt,250,3,94,0.96,1,3
275459,Manhattan,East Village,Entire home/apt,239,3,7,0.07,1,351
275578,Manhattan,Flatiron District,Entire home/apt,305,2,108,1.09,1,201
276291,Manhattan,Harlem,Entire home/apt,155,3,222,2.1,2,232
277379,Manhattan,Harlem,Private room,60,1,458,4.58,2,258
277394,Brooklyn,Windsor Terrace,Private room,135,2,21,0.26,1,272
279797,Manhattan,Roosevelt Island,Private room,120,7,17,0.3,1,341
282927,Manhattan,Lower East Side,Entire home/apt,150,3,41,0.39,1,244
204539,Queens,Ridgewood,Entire home/apt,140,14,1,0.01,5,365
274782,Brooklyn,Greenpoint,Entire home/apt,135,2,69,0.67,1,12
186084,Manhattan,Chinatown,Entire home/apt,250,4,18,0.18,2,265
288031,Manhattan,Midtown,Entire home/apt,250,30,82,0.78,1,0
289653,Manhattan,SoHo,Entire home/apt,500,4,94,0.99,1,329
99212,Manhattan,Greenwich Village,Entire home/apt,225,5,10,0.1,1,91
292204,Manhattan,East Harlem,Entire home/apt,125,28,183,1.83,2,365
256161,Manhattan,Harlem,Private room,92,1,189,1.82,5,253
249372,Manhattan,Harlem,Private room,175,2,1,0.11,1,365
292630,Manhattan,East Village,Entire home/apt,99,2,127,1.22,1,320
293394,Manhattan,Upper West Side,Entire home/apt,195,4,4,0.04,1,0
126607,Manhattan,East Harlem,Entire home/apt,140,3,135,1.3,3,192
295760,Manhattan,Little Italy,Entire home/apt,135,2,21,0.2,1,0
291112,Manhattan,Chelsea,Entire home/apt,500,2,35,0.34,1,348
297176,Manhattan,Harlem,Private room,80,14,10,2.21,2,0
297769,Manhattan,Chinatown,Private room,120,4,171,1.8,2,353
23619,Manhattan,Midtown,Entire home/apt,110,200,92,0.9,1,140
281764,Brooklyn,East Flatbush,Entire home/apt,65,3,238,2.3,1,2
303882,Manhattan,East Village,Entire home/apt,130,50,56,0.58,1,56
197755,Brooklyn,Bushwick,Entire home/apt,99,3,111,2.13,1,68
303939,Staten Island,Tompkinsville,Private room,36,2,193,1.85,6,360
303939,Staten Island,Tompkinsville,Private room,37,2,147,1.44,6,0
303939,Staten Island,Tompkinsville,Private room,37,2,177,1.71,6,320
306545,Manhattan,East Village,Entire home/apt,175,3,185,1.78,2,326
306605,Manhattan,Chelsea,Entire home/apt,205,9,62,0.7,2,76
306739,Brooklyn,Greenpoint,Entire home/apt,285,3,124,1.22,3,279
308875,Brooklyn,Williamsburg,Private room,59,2,181,1.77,2,15
303939,Staten Island,Tompkinsville,Private room,36,2,333,3.19,6,340
307962,Queens,Astoria,Entire home/apt,99,5,441,4.5,1,226
308652,Brooklyn,Kensington,Private room,39,1,45,0.46,2,365
310458,Brooklyn,Park Slope,Private room,60,14,9,0.09,2,0
310670,Bronx,Eastchester,Entire home/apt,105,2,38,0.5,13,365
170510,Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,2,248,2.39,2,11
306545,Manhattan,East Village,Entire home/apt,390,5,143,1.38,2,316
311286,Brooklyn,Bedford-Stuyvesant,Private room,70,3,36,0.41,4,281
312722,Brooklyn,Williamsburg,Private room,60,17,14,0.14,4,362
313317,Brooklyn,Crown Heights,Private room,100,3,279,2.69,1,301
311286,Brooklyn,Bedford-Stuyvesant,Private room,70,4,18,0.22,4,189
314256,Brooklyn,Crown Heights,Private room,110,6,50,3.55,1,0
314582,Brooklyn,Crown Heights,Private room,60,2,227,2.27,2,287
7310,Manhattan,Little Italy,Entire home/apt,90,14,1,0.16,1,14
46978,Manhattan,East Village,Private room,68,2,203,1.96,2,86
317809,Manhattan,Upper West Side,Entire home/apt,115,2,210,2.1,1,261
319092,Brooklyn,Bedford-Stuyvesant,Private room,75,5,64,0.67,1,68
320450,Manhattan,East Village,Entire home/apt,129,7,5,0.15,1,231
320761,Brooklyn,Williamsburg,Entire home/apt,130,10,49,0.48,1,152
320538,Brooklyn,Williamsburg,Entire home/apt,95,4,132,1.27,1,46
321756,Manhattan,Harlem,Private room,75,3,20,0.26,1,364
321934,Brooklyn,Park Slope,Entire home/apt,175,2,11,0.11,1,246
322884,Brooklyn,Carroll Gardens,Entire home/apt,190,3,51,0.57,1,288
322716,Brooklyn,Crown Heights,Private room,49,21,15,0.15,5,331
324460,Manhattan,East Village,Entire home/apt,212,3,67,1.31,1,51
314941,Manhattan,Lower East Side,Private room,95,1,109,1.11,3,364
325389,Brooklyn,Williamsburg,Entire home/apt,140,2,9,0.11,1,254
136227,Manhattan,Harlem,Entire home/apt,135,6,187,1.87,1,189
327673,Brooklyn,Park Slope,Entire home/apt,150,2,214,2.08,2,263
329436,Brooklyn,Gowanus,Entire home/apt,190,3,69,0.79,2,258
101597,Manhattan,East Harlem,Entire home/apt,124,28,22,0.26,1,103
330347,Brooklyn,Williamsburg,Entire home/apt,135,30,56,0.56,1,42
332189,Manhattan,Morningside Heights,Private room,122,3,93,0.93,1,246
323517,Manhattan,Upper West Side,Private room,109,1,104,1.05,2,364
338454,Manhattan,Harlem,Private room,85,30,64,0.68,1,318
240427,Brooklyn,Bedford-Stuyvesant,Entire home/apt,145,3,127,1.25,2,72
342054,Manhattan,Upper West Side,Entire home/apt,195,11,30,0.32,1,249
282655,Brooklyn,Carroll Gardens,Entire home/apt,250,2,106,1.34,3,272
343250,Brooklyn,Greenpoint,Private room,125,3,6,0.1,1,325
281229,Manhattan,Little Italy,Entire home/apt,575,2,191,1.88,1,298
352168,Manhattan,Upper West Side,Entire home/apt,150,30,48,0.55,1,35
155689,Brooklyn,Bushwick,Private room,70,5,47,0.49,1,203
353965,Manhattan,Inwood,Private room,90,2,120,1.27,1,132
354330,Manhattan,East Village,Private room,65,3,52,0.63,1,5
72062,Manhattan,East Village,Entire home/apt,500,2,48,0.48,4,297
361855,Manhattan,Washington Heights,Entire home/apt,250,3,32,0.43,2,276
363834,Manhattan,Chinatown,Entire home/apt,125,25,43,0.42,1,102
364955,Manhattan,West Village,Entire home/apt,200,30,39,0.44,1,251
365153,Brooklyn,Greenpoint,Entire home/apt,229,1,50,0.5,1,188
369015,Bronx,Kingsbridge,Entire home/apt,90,30,4,0.35,2,346
373085,Manhattan,Upper West Side,Entire home/apt,110,13,38,0.39,1,0
340692,Brooklyn,Greenpoint,Private room,59,3,29,0.36,1,15
211877,Brooklyn,Williamsburg,Entire home/apt,195,4,59,0.6,1,71
389924,Brooklyn,Williamsburg,Entire home/apt,169,1,68,0.67,2,215
331328,Manhattan,East Harlem,Entire home/apt,113,14,26,0.27,3,253
391325,Manhattan,Harlem,Entire home/apt,250,14,31,0.31,1,78
265109,Queens,Astoria,Entire home/apt,115,2,198,2.01,1,257
394752,Brooklyn,Greenpoint,Private room,55,2,1,0.01,1,0
308875,Brooklyn,Williamsburg,Private room,69,2,220,2.17,2,8
401696,Manhattan,Lower East Side,Entire home/apt,150,3,286,2.81,1,191
118971,Brooklyn,South Slope,Entire home/apt,169,2,398,3.97,3,182
417504,Brooklyn,Greenpoint,Private room,179,3,36,0.36,28,79
134355,Manhattan,Hell's Kitchen,Private room,150,3,36,0.36,1,49
422561,Brooklyn,Boerum Hill,Entire home/apt,135,4,6,0.1,1,0
425506,Brooklyn,Clinton Hill,Entire home/apt,350,6,14,0.3,1,156
430188,Brooklyn,Williamsburg,Private room,120,14,76,0.76,6,343
434987,Manhattan,East Village,Private room,71,2,182,1.81,1,200
417504,Brooklyn,Greenpoint,Private room,349,3,8,0.09,28,60
417504,Brooklyn,Greenpoint,Private room,349,3,7,0.07,28,60
438133,Brooklyn,Park Slope,Entire home/apt,165,30,34,0.51,2,189
417504,Brooklyn,Greenpoint,Private room,249,3,2,0.02,28,60
448312,Brooklyn,Brooklyn Heights,Private room,100,3,66,0.68,2,0
448312,Brooklyn,Brooklyn Heights,Entire home/apt,200,3,80,0.85,2,106
449787,Manhattan,East Village,Entire home/apt,169,4,240,2.4,1,276
451545,Brooklyn,Bedford-Stuyvesant,Entire home/apt,185,3,46,1.07,1,248
453519,Brooklyn,Bushwick,Entire home/apt,65,2,228,2.27,1,194
454756,Brooklyn,Fort Greene,Entire home/apt,130,35,5,0.05,1,135
456638,Brooklyn,Williamsburg,Entire home/apt,199,30,8,0.11,1,30
410094,Manhattan,East Village,Entire home/apt,225,2,33,0.33,1,0
417504,Brooklyn,Greenpoint,Private room,179,3,13,0.14,28,81
459054,Brooklyn,Crown Heights,Entire home/apt,150,5,5,0.05,1,0
462776,Manhattan,East Village,Entire home/apt,139,1,388,3.88,1,142
464506,Manhattan,Two Bridges,Private room,95,3,223,2.22,2,60
322716,Brooklyn,Crown Heights,Entire home/apt,79,15,11,0.11,5,179
327900,Manhattan,Lower East Side,Entire home/apt,150,2,151,1.51,2,52
209460,Brooklyn,Bedford-Stuyvesant,Entire home/apt,90,3,218,2.26,4,324
25183,Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,2,75,0.76,2,237
35375,Queens,Astoria,Private room,80,1,42,1.21,2,365
478395,Brooklyn,Bedford-Stuyvesant,Entire home/apt,175,2,370,3.74,1,204
473113,Brooklyn,Crown Heights,Entire home/apt,120,5,104,1.04,1,272
509341,Brooklyn,Williamsburg,Entire home/apt,140,7,13,0.13,1,0
509918,Brooklyn,Bedford-Stuyvesant,Entire home/apt,200,5,4,0.07,1,9
116599,Brooklyn,Clinton Hill,Private room,165,4,11,0.11,3,365
31374,Manhattan,Kips Bay,Entire home/apt,125,4,1,0.01,3,181
520279,Manhattan,Chelsea,Entire home/apt,130,30,19,0.19,1,189
522065,Manhattan,East Harlem,Shared room,65,7,131,1.31,2,0
522164,Brooklyn,Fort Greene,Entire home/apt,123,30,15,0.15,1,189
523218,Manhattan,Washington Heights,Private room,67,2,136,1.37,1,296
526653,Queens,Queens Village,Private room,50,1,43,0.45,1,88
526805,Brooklyn,Gowanus,Entire home/apt,130,7,98,0.99,1,35
530032,Brooklyn,Williamsburg,Private room,100,3,31,0.31,1,0
178043,Manhattan,Upper West Side,Entire home/apt,212,21,45,0.46,1,35
465278,Brooklyn,Williamsburg,Entire home/apt,190,3,124,1.76,1,359
417504,Brooklyn,Greenpoint,Private room,599,3,9,0.09,28,60
251176,Manhattan,East Village,Entire home/apt,249,5,166,1.68,2,365
547386,Queens,Rockaway Beach,Private room,70,27,13,0.13,1,335
322716,Brooklyn,Crown Heights,Entire home/apt,100,30,15,0.16,5,282
551055,Manhattan,Harlem,Private room,60,3,380,3.83,2,247
552679,Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,2,86,0.87,1,102
306739,Brooklyn,Greenpoint,Entire home/apt,175,3,248,2.53,3,274
3088389,Manhattan,Upper West Side,Entire home/apt,120,5,49,0.56,1,201
568568,Manhattan,Midtown,Entire home/apt,169,18,54,0.57,1,98
572527,Brooklyn,Crown Heights,Entire home/apt,165,7,3,0.03,1,157
573316,Manhattan,Harlem,Private room,90,1,1,0.02,1,0
571952,Manhattan,Upper East Side,Entire home/apt,225,2,56,0.57,1,312
181376,Brooklyn,Fort Greene,Private room,95,2,163,1.66,2,331
314582,Brooklyn,Crown Heights,Private room,55,2,247,2.51,2,275
275582,Manhattan,Hell's Kitchen,Private room,85,10,116,1.17,1,174
579495,Brooklyn,South Slope,Entire home/apt,199,14,27,0.28,2,223
314941,Manhattan,Lower East Side,Entire home/apt,211,1,52,0.6,3,361
582598,Manhattan,Midtown,Entire home/apt,145,6,39,0.4,1,0
567187,Manhattan,Harlem,Private room,65,14,35,0.35,1,283
127772,Manhattan,Harlem,Entire home/apt,99,1,320,3.23,1,220
585166,Queens,Astoria,Entire home/apt,110,4,30,0.32,1,363
209460,Brooklyn,Crown Heights,Entire home/apt,80,3,225,2.27,4,315
593115,Brooklyn,Brooklyn Heights,Entire home/apt,150,30,95,0.96,1,281
2248897,Brooklyn,Bedford-Stuyvesant,Entire home/apt,110,4,70,0.75,1,283
585458,Manhattan,Chelsea,Private room,290,2,35,0.36,1,20
138069,Brooklyn,Williamsburg,Entire home/apt,190,4,50,0.51,1,331
